id,name,latitude,longitude,address,hash_tags,unique_page
103,Dame Tartine,45.623482,-72.945187,1605 Rue St-Antoine,"Breakfast,Crêpes,Salads,Sandwiches,Comfort Food,Market",https://www.restomontreal.ca/resto/dame-tartine-saint-hyacinthe/7246/en/
104,Rouch Sandwicherie,45.5206,-73.586112,35 avenue du Mont-Royal E,"Sandwiches,Comfort Food",https://www.restomontreal.ca/resto/rouch-sandwicherie-le-plateau/19896/en/
105,Kimpo Korean BBQ,45.453342,-73.467336,7800 Boulevard Taschereau,"Korean,BBQ,Sushi,Japanese,Chinese,Grill",https://www.restomontreal.ca/resto/kimpo-korean-bbq-brossard/11606/en/
106,Canard Café,45.552486,-73.540016,4299 Rue Ontario E,"Grilled Cheese,Breakfast,Crêpes,Café,Vegetarian,Sandwiches",https://www.restomontreal.ca/resto/canard-cafe-hochelaga-maisonneuve/14321/en/
107,Zenbu Sushi,45.532688,-73.719356,5751 Boulevard Gouin O,"Asian,Japanese,Sushi,Thai,Grill,Vegan Options",https://www.restomontreal.ca/resto/zenbu-sushi-/5762/en/
108,Maison Saint-Paul,45.509171,-73.551902,343 Rue St-Paul E,"Creative,Market,Regional,Vegetarian,Grill,Tapas",https://www.restomontreal.ca/resto/maison-saint-paul-old-montreal/6705/en/
109,La Perle Vietnamienne,45.605706,-73.731939,2020 Boulevard des Laurentides,"Vietnamese,Asian,Sushi,Japanese,Thai",https://www.restomontreal.ca/resto/la-perle-vietnamienne-vimont/3407/en/
110,Les Cavistes - Bistro Bar à vin Boutique,45.545777,-73.666213,196 Rue Fleury O,"Bistro,French,Tartare",https://www.restomontreal.ca/resto/les-cavistes-bistro-bar-a-vin-boutique-ahuntsic-cartierville/5978/en/
111,Restaurant Kampot,45.628657,-73.848455,3375 Avenue des Grandes Tourelles,"Asian,Thai,Cambodian,Laotian,Vietnamese,Gluten-free Options",https://www.restomontreal.ca/resto/restaurant-kampot-boisbriand/15283/en/
112,Itamea Sushi,45.539791,-73.599993,1283 Rue Beaubien E,"Sushi,Asian,Poke Bowl",https://www.restomontreal.ca/resto/itamea-sushi-rosemont-la-petite-patrie/11898/en/
113,La Chaudronnée Suisse,45.731654,-73.453244,358 Rue Notre-Dame,"Fondue,Swiss,Crêpes,Raclette",https://www.restomontreal.ca/resto/la-chaudronnee-suisse-repentigny/2507/en/
114,Sésame,,,305 Rue Ste-Catherine O,"Asian,Fusion,Chinese,Japanese,Thai,Vegetarian",https://www.restomontreal.ca/resto/sesame-quartier-des-spectacles/6833/en/
115,Ristorante Pizzeria Corneli,45.606015,-73.731297,2015 Boulevard des Laurentides E,"Italian,Pizza,Pasta,Salads,Grill,Mediterranean",https://www.restomontreal.ca/resto/ristorante-pizzeria-corneli-vimont/20048/en/
